,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
66,R$ 649.000,R$ 720 Condo. + IPTU,137 m² · 4 quartos · 2 vagas,Apartamento,"Rua Francisco Fernandes dos Santos, Buritis · Belo Horizonte"
67,R$ 350.000,R$ 525 Condo. + IPTU,97 m² · 3 quartos · 1 vaga,Apartamento,"Rua Entre Rios, Carlos Prates · Belo Horizonte"
68,R$ 450.000,R$ 358 Condo. + IPTU,150 m² · 3 quartos · 1 vaga,Apartamento,"Rua Lindolfo de Azevedo, Jardim America · Belo Horizonte"
69,R$ 400.000,R$ 292 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Javari, Renascença · Belo Horizonte"
70,R$ 310.000,R$ 595 Condo. + IPTU,111 m² · 3 quartos · 1 vaga,Apartamento,"Rua Itapetinga, Cachoeirinha · Belo Horizonte"
71,R$ 370.000,R$ 1.500 Condo. + IPTU,72 m² · 1 quarto · 1 vaga,Apartamento,"Rua Bernardo Guimarães, Lourdes · Belo Horizonte"
72,R$ 290.000,R$ 340 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Camapuan, Alto Barroca · Belo Horizonte"
73,R$ 285.000,R$ 355 Condo. + IPTU,60 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jandáia, Padre Eustáquio · Belo Horizonte"
74,R$ 375.000,R$ 620 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Cinquentenario · Belo Horizonte"
75,R$ 850.000,R$ 425 Condo. + IPTU,169 m² · 3 quartos · 2 vagas,Apartamento,"Rua Paraisópolis, Santa Tereza · Belo Horizonte"
76,R$ 690.000,R$ 467 Condo. + IPTU,180 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Joaquim, Sagrada Família · Belo Horizonte"
77,R$ 210.000,R$ 160 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Floriano Peixoto de Paula, São Gabriel · Belo Horizonte"
78,R$ 260.000,R$ 332 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Avenida Teresa Cristina, Prado · Belo Horizonte"
79,R$ 310.000,R$ 116 Condo. + IPTU,114 m² · 2 quartos · 1 vaga,Casa,"Rua José Angélico de Barros, Jaqueline · Belo Horizonte"
80,R$ 490.000,R$ 735 Condo. + IPTU,120 m² · 3 quartos · 3 vagas,Apartamento,"Rua Matipó, Santo Antônio · Belo Horizonte"
81,R$ 460.000,R$ 1.224 Condo. + IPTU,84 m² · 2 quartos · 1 vaga,Apartamento,"Rua Professor Aníbal de Matos, Santo Antônio · Belo Horizonte"
82,R$ 259.000,R$ 200 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Casa,"Rua Jacinto Marcelino Ferreira, Santa Terezinha · Belo Horizonte"
83,R$ 380.000,R$ 342 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Traíras, Carlos Prates · Belo Horizonte"
84,R$ 970.000,R$ 1.538 Condo. + IPTU,96 m² · 3 quartos · 2 vagas,Apartamento,"Rua Padre Marinho, Santa Efigênia · Belo Horizonte"
85,R$ 260.000,R$ 145 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gustavo da Silveira, Santa Inês · Belo Horizonte"
86,R$ 340.000,R$ 468 Condo. + IPTU,60 m² · 3 quartos · 1 vaga,Apartamento,"Rua Carlos Turner, Cidade Nova · Belo Horizonte"
87,R$ 250.000,R$ 360 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Conde de Palma, Madre Gertrudes · Belo Horizonte"
88,R$ 310.000,R$ 770 Condo. + IPTU,56 m² · 2 quartos · 1 vaga,Apartamento,"Rua Geraldo Magela de Almeida, Manacás · Belo Horizonte"
89,R$ 1.360.000,R$ 691 Condo. + IPTU,85 m² · 3 quartos · 3 vagas,Apartamento,"Rua Gonçalves Dias, Funcionários · Belo Horizonte"
90,R$ 590.000,R$ 510 Condo. + IPTU,180 m² · 4 quartos · 2 vagas,Apartamento,"Rua Tabelião Ferreira de Carvalho, Cidade Nova · Belo Horizonte"
91,R$ 490.000,R$ 688 Condo. + IPTU,66 m² · 2 quartos · 2 vagas,Apartamento,"Rua Cônsul Walter, Buritis · Belo Horizonte"
92,R$ 320.000,R$ 416 Condo. + IPTU,68 m² · 3 quartos · 1 vaga,Apartamento,"Rua Santa Marta, Sagrada Família · Belo Horizonte"
93,R$ 495.000,R$ 790 Condo. + IPTU,130 m² · 4 quartos · 2 vagas,Apartamento,"Rua Visconde de Caravelas, Serra · Belo Horizonte"
94,R$ 530.000,R$ 454 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Litargírio, Grajaú · Belo Horizonte"
95,R$ 585.000,R$ 787 Condo. + IPTU,156 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Júlio Mourão, Luxemburgo · Belo Horizonte"
96,R$ 320.000,R$ 1.047 Condo. + IPTU,100 m² · 3 quartos,Apartamento,"Rua dos Guaranis, Centro · Belo Horizonte"
