,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
338,R$ 310.000,R$ 375 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua Passos, Carlos Prates · Belo Horizonte"
339,R$ 635.000,R$ 688 Condo. + IPTU,181 m² · 4 quartos · 1 vaga,Apartamento,"Rua Matipó, Santo Antônio · Belo Horizonte"
340,R$ 330.000,R$ 254 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Casa,"Rua Sarah Carvalho Machado, Céu Azul · Belo Horizonte"
341,R$ 350.000,R$ 613 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Vereador Júlio Ferreira, Nova Gameleira · Belo Horizonte"
342,R$ 220.000,R$ 1 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua Édson Tomás Santos, São Bernardo · Belo Horizonte"
343,R$ 480.000,R$ 0 Condo. + IPTU,92 m² · 2 quartos · 2 vagas,Apartamento,"Rua Santo Amaro, Sagrada Família · Belo Horizonte"
344,R$ 680.000,R$ 1 Condo. + IPTU,300 m² · 3 quartos · 4 vagas,Casa,"Rua Gonçalo Alves, Concórdia · Belo Horizonte"
345,R$ 495.000,R$ 492 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Coronel Jaíro Pereira, Palmares · Belo Horizonte"
346,R$ 630.000,R$ 725 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Indiana, Jardim America · Belo Horizonte"
347,R$ 495.000,R$ 709 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Silvio de Oliveira Martins, Buritis · Belo Horizonte"
348,R$ 200.000,R$ 75 Condo. + IPTU,60 m² · 2 quartos,Apartamento,"Rua Farmacêutico Raul Machado, Candelária · Belo Horizonte"
349,R$ 495.000,R$ 709 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Silvio de Oliveira Martins, Buritis · Belo Horizonte"
350,R$ 200.000,R$ 150 Condo. + IPTU,66 m² · 2 quartos · 1 vaga,Apartamento,"Rua Bruno Felipe Ferreira, Solar do Barreiro · Belo Horizonte"
351,R$ 520.000,R$ 550 Condo. + IPTU,55 m² · 2 quartos · 2 vagas,Apartamento,"Rua Sílvio Menicucci, Buritis · Belo Horizonte"
352,R$ 852.000,R$ 0 Condo. + IPTU,120 m² · 2 quartos · 3 vagas,Apartamento,"Rua Genoveva de Souza, Sagrada Família · Belo Horizonte"
353,R$ 605.000,R$ 567 Condo. + IPTU,248 m² · 3 quartos · 1 vaga,Apartamento,"Rua Engenheiro Zoroastro Tôrres, Santo Antônio · Belo Horizonte"
354,R$ 330.000,R$ 341 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Alberto Bressane, São Lucas · Belo Horizonte"
355,R$ 470.000,R$ 325 Condo. + IPTU,98 m² · 3 quartos · 1 vaga,Casa em condomínio,"Rua Agenor José dos Anjos, Santa Cruz · Belo Horizonte"
356,R$ 350.000,R$ 555 Condo. + IPTU,93 m² · 2 quartos · 1 vaga,Apartamento,"Rua Pio Xi, Ipiranga · Belo Horizonte"
357,R$ 299.000,R$ 525 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Pedro Leopoldo, Bonfim · Belo Horizonte"
358,R$ 525.000,R$ 559 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Senador José Augusto, Buritis · Belo Horizonte"
359,R$ 395.000,R$ 75 Condo. + IPTU,200 m² · 2 quartos · 3 vagas,Casa,"Rua Oitocentos E Quarenta E Sete, Diamante · Belo Horizonte"
360,R$ 690.000,R$ 899 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Rio de Janeiro, Centro · Belo Horizonte"
361,R$ 1.150.000,R$ 775 Condo. + IPTU,143 m² · 3 quartos · 4 vagas,Apartamento,"Rua Camapuan, Alto Barroca · Belo Horizonte"
362,R$ 455.000,R$ 425 Condo. + IPTU,59 m² · 2 quartos · 1 vaga,Apartamento,"Rua Teodomiro Cruz, São Lucas · Belo Horizonte"
363,R$ 1.028.000,R$ 1.150 Condo. + IPTU,90 m² · 3 quartos · 3 vagas,Apartamento,"Rua Esparta, Prado · Belo Horizonte"
364,R$ 470.000,R$ 622 Condo. + IPTU,104 m² · 3 quartos · 1 vaga,Apartamento,"Rua Iraí, Coracao de Jesus · Belo Horizonte"
365,R$ 350.000,R$ 529 Condo. + IPTU,74 m² · 2 quartos · 1 vaga,Apartamento,"Rua Maura, Ipiranga · Belo Horizonte"
366,R$ 705.000,R$ 493 Condo. + IPTU,180 m² · 3 quartos · 2 vagas,Apartamento,"Rua Laura Brito Farias, Heliópolis · Belo Horizonte"
367,R$ 264.900,R$ 452 Condo. + IPTU,56 m² · 2 quartos · 1 vaga,Apartamento,"Rua Gentil Portugal do Brasil, Camargos · Belo Horizonte"
368,R$ 650.000,R$ 779 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Miguel Perrela, Castelo · Belo Horizonte"
369,R$ 269.000,R$ 442 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zínia, Havaí · Belo Horizonte"
370,R$ 195.000,R$ 334 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Bartolota, Glória · Belo Horizonte"
371,R$ 499.900,R$ 0 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Casa,"Rua Doutor Furtado de Menezes, Ipiranga · Belo Horizonte"
372,R$ 590.000,R$ 605 Condo. + IPTU,130 m² · 3 quartos · 2 vagas,Apartamento,"Rua Santa Cruz, Alto Barroca · Belo Horizonte"
373,R$ 250.000,R$ 290 Condo. + IPTU,47 m² · 2 quartos · 1 vaga,Apartamento,"Rua Deputado André de Almeida, Ouro Preto · Belo Horizonte"
374,R$ 329.000,R$ 35 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Casa em condomínio,"Rua Graça Aranha, Santa Branca · Belo Horizonte"
375,R$ 600.000,R$ 829 Condo. + IPTU,50 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Raja Gabáglia, Luxemburgo · Belo Horizonte"
376,R$ 520.000,R$ 668 Condo. + IPTU,125 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Mario Casassanta, Carlos Prates · Belo Horizonte"
377,R$ 150.000,R$ 0 Condo. + IPTU,50 m² · 3 quartos,Apartamento,"R. Aribá- São Cristóvão Belo Horizonte - Mg 31110-760 Brasil, São Cristóvão · Belo Horizonte"
378,R$ 275.000,R$ 255 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Professor Clóvis Salgado, Bandeirantes (pampulha) · Belo Horizonte"
379,R$ 639.000,R$ 416 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Dom José Gaspar, Coração Eucarístico · Belo Horizonte"
380,R$ 495.000,R$ 297 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Fernando Lôbo, Santa Efigênia · Belo Horizonte"
381,R$ 435.000,R$ 584 Condo. + IPTU,72 m² · 2 quartos · 2 vagas,Apartamento,"Rua Gustavo Ladeira, Paquetá · Belo Horizonte"
382,R$ 480.000,R$ 852 Condo. + IPTU,84 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Manoela Braz, Heliópolis · Belo Horizonte"
383,R$ 490.000,R$ 529 Condo. + IPTU,200 m² · 4 quartos · 2 vagas,Apartamento,"Rua Salutares, São Lucas · Belo Horizonte"
384,R$ 490.000,R$ 529 Condo. + IPTU,200 m² · 4 quartos · 2 vagas,Apartamento,"Rua Salutares, São Lucas · Belo Horizonte"
385,R$ 795.000,R$ 557 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Apartamento,"Rua Santo Amaro, Sagrada Família · Belo Horizonte"
386,R$ 780.000,R$ 1.087 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Coronel Jaíro Pereira, Palmares · Belo Horizonte"
387,R$ 264.000,R$ 270 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Constantino dos Santos, Dom Silverio · Belo Horizonte"
388,R$ 430.000,R$ 587 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Avenida José Cleto, Santa Cruz · Belo Horizonte"
389,R$ 670.000,R$ 755 Condo. + IPTU,157 m² · 4 quartos · 2 vagas,Apartamento,"Rua Martim Francisco, Gutierrez · Belo Horizonte"
390,R$ 270.000,R$ 433 Condo. + IPTU,59 m² · 2 quartos · 1 vaga,Apartamento,"Rua Fernando Pereira Magalhães, Candelária · Belo Horizonte"
391,R$ 406.000,R$ 487 Condo. + IPTU,110 m² · 4 quartos · 1 vaga,Apartamento,"Rua Jacuí, Floresta · Belo Horizonte"
392,R$ 290.000,R$ 585 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Frei Cipriano, Nova Cachoeirinha · Belo Horizonte"
393,R$ 320.000,R$ 594 Condo. + IPTU,56 m² · 2 quartos · 1 vaga,Apartamento,"Rua Alga Verde, Jardim Guanabara · Belo Horizonte"
394,R$ 185.000,R$ 430 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jose Gomes Domingues, Jaqueline · Belo Horizonte"
395,R$ 789.000,R$ 256 Condo. + IPTU,141 m² · 2 quartos · 3 vagas,Apartamento,"Rua Júlio Soares Santana, Ouro Preto · Belo Horizonte"
396,R$ 298.000,R$ 400 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua Frederico Bracher Júnior, Padre Eustáquio · Belo Horizonte"
397,R$ 350.000,R$ 587 Condo. + IPTU,110 m² · 2 quartos · 1 vaga,Apartamento,"Rua Meira de Vasconcelos, Maria Virgínia · Belo Horizonte"
398,R$ 250.000,R$ 150 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Blumenau, Copacabana · Belo Horizonte"
399,R$ 590.000,R$ 686 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Noraldino de Lima, Pampulha · Belo Horizonte"
400,R$ 530.000,R$ 380 Condo. + IPTU,110 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria José Gomes, Santa Cruz · Belo Horizonte"
401,R$ 175.000,R$ 100 Condo. + IPTU,47 m² · 2 quartos · 1 vaga,Apartamento,"Rodovia Anel Rodoviário Celso Mello Azevedo, Goiânia · Belo Horizonte"
402,R$ 560.000,R$ 275 Condo. + IPTU,83 m² · 3 quartos · 2 vagas,Apartamento,"Rua Doutor José Esteves Rodrigues, Itapoã · Belo Horizonte"
403,R$ 340.000,R$ 500 Condo. + IPTU,55 m² · 3 quartos · 1 vaga,Apartamento,"Rua Carlos Turner, Silveira · Belo Horizonte"
404,R$ 570.000,R$ 806 Condo. + IPTU,132 m² · 3 quartos · 3 vagas,Apartamento,"Rua Waldir Leite Pena, Silveira · Belo Horizonte"
405,R$ 450.000,R$ 473 Condo. + IPTU,125 m² · 3 quartos · 2 vagas,Apartamento,"Rua Doutor Júlio Otaviano Ferreira, Cidade Nova · Belo Horizonte"
406,R$ 320.000,R$ 109 Condo. + IPTU,170 m² · 3 quartos · 2 vagas,Casa,"Rua Ozenil José de Oliveira, Jaqueline · Belo Horizonte"
407,R$ 690.000,R$ 576 Condo. + IPTU,106 m² · 3 quartos · 2 vagas,Apartamento,"Rua José Mourão, Fernão Dias · Belo Horizonte"
408,R$ 690.000,R$ 576 Condo. + IPTU,106 m² · 3 quartos · 2 vagas,Apartamento,"Rua José Mourão, Fernão Dias · Belo Horizonte"
409,R$ 695.000,R$ 1.055 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Vitório Magnavacca, Buritis · Belo Horizonte"
410,R$ 350.000,R$ 309 Condo. + IPTU,110 m² · 2 quartos · 1 vaga,Apartamento,"Rua Cachoeira da Prata, Pindorama · Belo Horizonte"
411,R$ 499.000,R$ 598 Condo. + IPTU,70 m² · 2 quartos · 2 vagas,Apartamento,"Rua Beira-alta, São Francisco · Belo Horizonte"
412,R$ 358.000,R$ 0 Condo. + IPTU,160 m² · 2 quartos · 2 vagas,Casa,"Rua Camilo Torres, Trevo · Belo Horizonte"
413,R$ 390.000,R$ 323 Condo. + IPTU,102 m² · 3 quartos · 1 vaga,Apartamento,"Rua Zircônio, Vila Magnesita · Belo Horizonte"
414,R$ 235.000,R$ 398 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Apartamento,"R. Armando Greco 333 - Frei Leopoldo Belo Horizonte - Mg 31746-055 Brasil, Frei Leopoldo · Belo Horizonte"
415,R$ 280.000,R$ 340 Condo. + IPTU,59 m² · 2 quartos · 1 vaga,Apartamento,"Rua Desembargador Paula Mota, Ouro Preto · Belo Horizonte"
416,R$ 495.000,R$ 560 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Rua Gustavo Ladeira, Paquetá · Belo Horizonte"
417,R$ 699.000,R$ 0 Condo. + IPTU,360 m² · 4 quartos · 4 vagas,Casa,"Rua Lúcio de Oliveira, Floramar · Belo Horizonte"
418,R$ 580.000,R$ 467 Condo. + IPTU,360 m² · 3 quartos,Casa,"Rua Geraldo Faria de Souza, Sagrada Familia · Belo Horizonte"
419,R$ 585.000,R$ 1.328 Condo. + IPTU,69 m² · 2 quartos · 2 vagas,Apartamento,"Rua Nunes Viêira, Santo Antônio · Belo Horizonte"
420,R$ 420.000,R$ 832 Condo. + IPTU,68 m² · 3 quartos · 2 vagas,Apartamento,"Rua Valença, Carlos Prates · Belo Horizonte"
421,R$ 290.000,R$ 274 Condo. + IPTU,64 m² · 3 quartos · 1 vaga,Apartamento,"Rua Zurick, Calafate · Belo Horizonte"
422,R$ 545.000,R$ 250 Condo. + IPTU,135 m² · 5 quartos · 2 vagas,Apartamento,"Rua Encantado, Alto Caiçaras · Belo Horizonte"
423,R$ 250.000,R$ 50 Condo. + IPTU,110 m² · 2 quartos · 1 vaga,Casa,"Rua Três Marias, Miramar (barreiro) · Belo Horizonte"
424,R$ 500.000,R$ 150 Condo. + IPTU,360 m² · 3 quartos · 2 vagas,Casa,"Rua Pedra de Ara, Piratininga (Venda Nova) · Belo Horizonte"
425,R$ 300.000,R$ 550 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Capitolio, Santo Andre · Belo Horizonte"
426,R$ 290.000,R$ 33 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Casa em condomínio,"Rua Sarah Carvalho Machado, Céu Azul · Belo Horizonte"
427,R$ 520.000,R$ 690 Condo. + IPTU,140 m² · 3 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Cinquentenario · Belo Horizonte"
428,R$ 690.600,R$ 175 Condo. + IPTU,173 m² · 4 quartos · 3 vagas,Apartamento,"Avenida Francisco Sá, Gutierrez · Belo Horizonte"
429,R$ 185.000,R$ 190 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Campo Verde, Juliana · Belo Horizonte"
430,R$ 500.000,R$ 479 Condo. + IPTU,119 m² · 3 quartos · 1 vaga,Apartamento,"Rua Indiana, Jardim América · Belo Horizonte"
431,R$ 450.000,R$ 334 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Arthur Velloso, Jardim América · Belo Horizonte"
432,R$ 650.000,R$ 117 Condo. + IPTU,300 m² · 4 quartos · 2 vagas,Casa,"Rua Fortaleza, Lagoinha · Belo Horizonte"
433,R$ 695.000,R$ 275 Condo. + IPTU,260 m² · 3 quartos · 3 vagas,Casa,"Rua Rio Pomba, Carlos Prates · Belo Horizonte"
434,R$ 688.800,R$ 1.030 Condo. + IPTU,133 m² · 3 quartos · 2 vagas,Apartamento,"Rua Frei Martinho Burnier, Paquetá · Belo Horizonte"
435,R$ 275.000,R$ 561 Condo. + IPTU,51 m² · 2 quartos · 1 vaga,Apartamento,"Rua Francisco Augusto Rocha, Planalto · Belo Horizonte"
436,R$ 458.000,R$ 717 Condo. + IPTU,62 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Silva Passos, Vila Nova Vista · Belo Horizonte"
437,R$ 430.000,R$ 610 Condo. + IPTU,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Belém, Pompéia · Belo Horizonte"
438,R$ 580.000,R$ 150 Condo. + IPTU,105 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pouso Alegre, Horto · Belo Horizonte"
439,R$ 530.400,R$ 0 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Genoveva de Souza, Sagrada Família · Belo Horizonte"
440,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
441,R$ 407.000,R$ 491 Condo. + IPTU,90 m² · 3 quartos,Apartamento,"Rua Cônego Pinheiro, Santa Efigênia · Belo Horizonte"
442,R$ 590.000,R$ 609 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Muzambinho, Serra · Belo Horizonte"
443,R$ 495.000,R$ 0 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Itaobim, Santa Ines · Belo Horizonte"
444,R$ 470.000,R$ 501 Condo. + IPTU,120 m² · 2 quartos · 2 vagas,Apartamento,"Rua Quaquarema, Fernão Dias · Belo Horizonte"
445,R$ 649.000,R$ 200 Condo. + IPTU,85 m² · 3 quartos · 2 vagas,Apartamento,"Rua Horizonte, Santa Efigênia · Belo Horizonte"
446,R$ 550.000,R$ 93 Condo. + IPTU,140 m² · 3 quartos · 2 vagas,Casa,"Rua Indianópolis, Cachoeirinha · Belo Horizonte"
447,R$ 390.000,R$ 699 Condo. + IPTU,107 m² · 3 quartos · 1 vaga,Apartamento,"Rua Padre Eustáquio, Carlos Prates · Belo Horizonte"
448,R$ 570.000,R$ 676 Condo. + IPTU,80 m² · 2 quartos · 1 vaga,Apartamento,"Rua Professora Maria Carolina Campos, Nova Suíssa · Belo Horizonte"
449,R$ 450.000,R$ 400 Condo. + IPTU,98 m² · 3 quartos · 2 vagas,Apartamento,"Rua Bento Mendes Castanheira, Dona Clara · Belo Horizonte"
450,R$ 692.000,R$ 1.001 Condo. + IPTU,70 m² · 2 quartos · 2 vagas,Apartamento,"Rua Manila, Estrela Dalva · Belo Horizonte"
451,R$ 485.000,R$ 610 Condo. + IPTU,118 m² · 3 quartos · 1 vaga,Apartamento,"Avenida José Cândido da Silveira, Cidade Nova · Belo Horizonte"
452,R$ 450.000,R$ 885 Condo. + IPTU,76 m² · 3 quartos · 1 vaga,Apartamento,"Rua Carlos Alberto Fernandes, Dom Cabral · Belo Horizonte"
453,R$ 365.000,R$ 617 Condo. + IPTU,100 m² · 2 quartos · 1 vaga,Apartamento,"Avenida João Samaha, São João Batista (Venda Nova) · Belo Horizonte"
454,R$ 390.000,R$ 560 Condo. + IPTU,63 m² · 2 quartos · 1 vaga,Apartamento,"Rua Izabel Alves Martins, Serrano · Belo Horizonte"
455,R$ 285.000,R$ 395 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Corretor Juventino de Jesus, Candelária · Belo Horizonte"
456,R$ 285.000,R$ 395 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Corretor Juventino de Jesus, Candelária · Belo Horizonte"
457,R$ 385.000,R$ 473 Condo. + IPTU,74 m² · 2 quartos · 1 vaga,Apartamento,"Rua Conselheiro Lafaiete, Sagrada Família · Belo Horizonte"
458,R$ 510.000,R$ 397 Condo. + IPTU,60 m² · 1 quarto,Apartamento,"Rua da Bahia, Centro · Belo Horizonte"
459,R$ 495.000,R$ 405 Condo. + IPTU,89 m² · 3 quartos · 2 vagas,Apartamento,"Rua Nair Pentagna Guimarães, Heliópolis · Belo Horizonte"
460,R$ 780.000,R$ 589 Condo. + IPTU,140 m² · 3 quartos · 3 vagas,Apartamento,"Rua Industrial José Costa, Nova Granada · Belo Horizonte"
461,R$ 590.000,R$ 1.119 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua dos Guajajaras, Centro · Belo Horizonte"
462,R$ 370.000,R$ 200 Condo. + IPTU,110 m² · 3 quartos,Apartamento,"Avenida Amazonas, Barroca · Belo Horizonte"
463,R$ 330.000,R$ 588 Condo. + IPTU,52 m² · 1 quarto,Apartamento,"Rua das Pérolas, Santa Maria · Belo Horizonte"
464,R$ 320.000,R$ 401 Condo. + IPTU,73 m² · 3 quartos · 2 vagas,Apartamento,"Rua José Cambraia do Nascimento, Havaí · Belo Horizonte"
465,R$ 350.000,R$ 500 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Clemente Pereira, Ipiranga · Belo Horizonte"
466,R$ 580.000,R$ 650 Condo. + IPTU,97 m² · 3 quartos · 2 vagas,Apartamento,"Rua Alberto Bressane, São Lucas · Belo Horizonte"
467,R$ 270.000,R$ 250 Condo. + IPTU,67 m² · 2 quartos · 2 vagas,Apartamento,"Rua Manoel Aramuni, Conjunto Califórnia · Belo Horizonte"
468,R$ 620.000,R$ 662 Condo. + IPTU,71 m² · 3 quartos · 2 vagas,Apartamento,"Rua Quintino Bocaiúva, Santa Rosa · Belo Horizonte"
469,R$ 330.000,R$ 379 Condo. + IPTU,76 m² · 2 quartos · 1 vaga,Apartamento,"Rua Joaquim Zenir Leite, Paraíso · Belo Horizonte"
470,R$ 540.900,R$ 0 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Genoveva de Souza, Sagrada Família · Belo Horizonte"
471,R$ 480.000,R$ 130 Condo. + IPTU,200 m² · 3 quartos · 4 vagas,Casa,"Rua Vicente Feola, Campo Alegre · Belo Horizonte"
472,R$ 780.000,R$ 1.168 Condo. + IPTU,73 m² · 3 quartos · 2 vagas,Apartamento,"Rua Juruá, Graça · Belo Horizonte"
473,R$ 195.000,R$ 30 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Don Aquino, Belmonte · Belo Horizonte"
474,R$ 750.000,R$ 930 Condo. + IPTU,74 m² · 2 quartos · 2 vagas,Apartamento,"Rua Agostinho Bretas, Caiçaras · Belo Horizonte"
475,R$ 450.000,R$ 921 Condo. + IPTU,95 m² · 2 quartos · 3 vagas,Casa,"Rua da Olaria, Diamante · Belo Horizonte"
476,R$ 489.900,R$ 807 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Betânia · Belo Horizonte"
477,R$ 380.000,R$ 630 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Jataí, Graça · Belo Horizonte"
478,R$ 650.000,R$ 670 Condo. + IPTU,130 m² · 4 quartos · 2 vagas,Apartamento,"Rua Matipó, Santo Antônio · Belo Horizonte"
479,R$ 293.000,R$ 360 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Alva, Xodó Marize · Belo Horizonte"
480,R$ 500.000,R$ 580 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pôrto Firme, Santa Ines · Belo Horizonte"
481,R$ 275.000,R$ 721 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Corretor Juventino de Jesus, Candelária · Belo Horizonte"
482,R$ 497.100,,70 m² · 3 quartos · 2 vagas,Apartamento,"Rua Oliver, União · Belo Horizonte"
483,R$ 205.000,R$ 380 Condo. + IPTU,59 m² · 2 quartos · 1 vaga,Apartamento,"Rua Ana Pereira Menezes, Vila São Gabriel · Belo Horizonte"
484,R$ 450.000,R$ 334 Condo. + IPTU,53 m² · 2 quartos · 2 vagas,Apartamento,"Rua Cornélia, Fernão Dias · Belo Horizonte"
485,R$ 700.000,R$ 1.256 Condo. + IPTU,133 m² · 3 quartos · 2 vagas,Apartamento,"Rua Deputado Álvaro Sáles, Santo Antônio · Belo Horizonte"
486,R$ 750.000,R$ 1.145 Condo. + IPTU,105 m² · 3 quartos · 4 vagas,Apartamento,"Avenida José Cândido da Silveira, Sagrada Família · Belo Horizonte"
487,R$ 270.000,R$ 366 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Armando Greco, Frei Leopoldo · Belo Horizonte"
488,R$ 320.000,R$ 1 Condo. + IPTU,62 m² · 2 quartos · 1 vaga,Apartamento,"Rua Conde de Monte Cristo, Ipiranga · Belo Horizonte"
489,R$ 440.000,R$ 382 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Avenida José Cândido da Silveira, Cidade Nova · Belo Horizonte"
490,R$ 295.000,R$ 140 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Casa,"R. André de Melo E Castro, 98 - Nova Cachoeirinha, Belo Horizonte - Mg, 31250-610, Brasil, Nova Cachoeirinha · Belo Horizonte"
491,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
492,R$ 200.000,R$ 225 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Izabel Raso, Frei Leopoldo · Belo Horizonte"
493,R$ 320.000,R$ 0 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Apartamento,"Rua Conceição da Barra, Coqueiros · Belo Horizonte"
494,R$ 489.000,R$ 567 Condo. + IPTU,99 m² · 2 quartos · 2 vagas,Apartamento,"Rua José Silva Passos, Nova Vista · Belo Horizonte"
495,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
496,R$ 489.000,R$ 567 Condo. + IPTU,99 m² · 2 quartos · 2 vagas,Apartamento,"Rua José Silva Passos, Nova Vista · Belo Horizonte"
497,R$ 295.000,R$ 425 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Apartamento,"Rua Albatroz, Vila Cloris · Belo Horizonte"
498,R$ 220.000,R$ 273 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Luiz Azevedo, Frei Leopoldo · Belo Horizonte"
499,R$ 430.000,R$ 115 Condo. + IPTU,173 m² · 3 quartos · 2 vagas,Casa,"Rua Itapoá, Pindorama · Belo Horizonte"
500,R$ 480.000,R$ 150 Condo. + IPTU,360 m² · 2 quartos · 4 vagas,Casa,"Rua Santa Aliança, São Marcos · Belo Horizonte"
501,R$ 570.000,R$ 707 Condo. + IPTU,80 m² · 2 quartos · 2 vagas,Apartamento,"Rua Jornalista Tarcisio Henriques, Castelo · Belo Horizonte"
502,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
503,R$ 695.000,R$ 400 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Domício Murta, Ouro Preto · Belo Horizonte"
504,R$ 580.000,R$ 650 Condo. + IPTU,97 m² · 3 quartos · 2 vagas,Apartamento,"Rua Alberto Bressane, São Lucas · Belo Horizonte"
505,R$ 470.000,R$ 501 Condo. + IPTU,120 m² · 2 quartos · 2 vagas,Apartamento,"Rua Quaquarema, Fernão Dias · Belo Horizonte"
506,R$ 390.000,R$ 708 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Silva Passos, Nova Vista · Belo Horizonte"
507,R$ 580.000,R$ 712 Condo. + IPTU,70 m² · 3 quartos · 3 vagas,Apartamento,"R. Indiana, Jardim America · Belo Horizonte"
